Rank	Bar	Neighborhood	Cuisine Category	Price
1	Johnny Brendas			
2	Alla Spina			
3	Pub & Kitchen			
4	American Sardine Bar			
5	Khyber Pass Pub			
6	Hop Sing Laundromat			
7	Kraftwork			
8	Brauhaus Schmitz			
9	Devils Den			
10	Good Dog Bar			
11	Southwark			
12	Loco Pez			
13	Jerrys Bar			
14	South Philadelphia Tap Room			
15	Frankford Hall			
16	Tria Cafe			
17	Memphis Taproom			
18	Sidecar Bar & Grille			
19	Prohibition Taproom			
20	Monks Cafe			
21	The Industry			
22	Royal Tavern			
23	Ranstead Room			
24	The Corner Foodery			
25	Standard Tap			
26	Franklin Mortgage & Investment Co.			
27	Cantina Los Caballitos			
28	Grace Tavern			
29	Lloyd			
30	Fiume			
31	Pub on Passyunk East			
33	Jose Pistolas			
34	Bob & Barbaras			
35	City Tap House			
36	McMenamins			
37	Stateside			
38	Locust Rendezvous			
39	Fountain Porter			
40	Oyster House			
41	McGillins Olde Ale House			
42	Doobies			
43	Grey Lodge			
44	Pour House			
45	Vintage Wine Bar & Bistro			
46	A.Bar			
47	Bottle Bar East			
48	Emmanuelle			
49	Varga Bar			
50	Barcade			
