Rank	Bar	Neighborhood	Cuisine Category	Price
1	Standard Tap			
2	Pub on Passyunk East			
3	Monks Cafe			
4	Southwark			
5	Good Dog Bar			
6	Grace Tavern			
7	South Philadelphia Taproom			
8	Sidecar Bar & Grille			
9	Tria Cafe			
10	Royal Tavern			
11	Memphis Taproom			
12	Pub & Kitchen			
13	Johnny Brendas			
14	Grey Lodge			
15	Bob & Barbaras			
17	Varga Bar			
18	Rays Happy Birthday Bar			
19	Nodding Head			
20	Nineteen  XIX			
21	Silk City Diner			
22	Tavern on Camac			
23	Doobies			
24	McGlincheys			
25	N. 3rd			
26	Parc			
27	Bridgids			
28	Jose Pistolas			
29	Khyber Pass Pub			
30	McMenamins			
31	Local 44			
32	Teresas Next Door			
33	Cantina Los Caballitos			
34	Dawson Street Pub			
35	700 Club			
36	Valanni			
37	Atlantis: Lost Bar			
38	Vintage Wine Bar & Bistro			
39	Continental Midtown			
40	Tinto			
42	Druids Keep			
43	London Grill			
44	Cherry Street Tavern			
45	Flying Pig Saloon			
46	St. Stephens Green			
47	TJs Resturant & Drinkery			
48	Locust Bar			
49	For Petes Sake			
50	Nicks Roast Beef			
