Rank	Bar	Neighborhood	Cuisine Category	Price
1	Pub & Kitchen			
2	Standard Tap			
3	Monks Cafe			
4	South Philadelphia Taproom			
5	Johnny Brendas			
6	Khyber Pass Pub			
7	Pub on Passyunk East			
8	Alla Spina			
9	Memphis Taproom			
10	Frankford Hall			
11	Grace Tavern			
12	Hop Sing Laundromat			
13	Jose Pistolas			
14	Stateside			
15	Franklin Mortgage & Investment Co.			
16	Southwark			
17	Grey Lodge			
18	Trestle Inn			
19	Kraftwork			
20	Good Dog Bar			
21	Prohibition Taproom			
22	American Sardine Bar			
23	Doobies			
24	Brauhaus Schmitz			
25	Varga Bar			
26	Tria Cafe			
27	Royal Tavern			
28	Devils Den			
29	Opa			
30	Sidecar Bar & Grille			
31	Bob & Barbaras			
32	1 Tippling Place			
33	Oscars			
34	Oyster House			
35	Fiume			
36	Percy Street Barbecue			
37	Village Whiskey			
38	Resurrection Ale House			
39	Vernick Food & Drink			
40	Fergies			
41	Zahav			
42	Teresas Next Door			
43	Barcade			
44	Ranstead Room			
45	Loco Pez			
46	McMenamins			
47	Cantina Los Caballitos			
48	Industry			
49	Morgans Pier			
50	Time			
